% load S data (Sublimation from lakes)
%  time (years)     S (m year^-1) 
1995    0
1996    0.154
1997    0.141
1998    0.153
1999    0.160
2000    0.154
2001    0.155
2002    0.164
2003    0.121
2004    0.135
2005    0.135
2006    0.138
2007    0.147
2008    0.153
2009    0.148
2010    0.137
2011    0.126
2012    0.162
2013    0.146
