% load S data (Sublimation from lakes)
%  time (years)     S (m year^-1) 
1995    0.0
1996    0.363
1997    0.380
1998    0.340
1999    0.390
2000    0.392
2001    0.373
2002    0.430
2003    0.335
2004    0.353
2005    0.331
2006    0.346
2007    0.340
2008    0.392
2009    0.434
2010    0.367
2011    0.343
2012    0.345
2013    0.369
