% load S data (Sublimation from lakes)
%  time (years)     S (m year^-1) 
11995   0.0
1996    0.261
1997    0.235
1998    0.221
1999    0.294
2000    0.286
2001    0.234
2002    0.298
2003    0.199
2004    0.222
2005    0.215
2006    0.223
2007    0.268
2008    0.254
2009    0.259
2010    0.209
2011    0.217
2012    0.273
2013    0.227
