% load S data (Sublimation from lakes)
%  time (years)     S (m year^-1) 
1995    0
1996    0.249
1997    0.265
1998    0.256
1999    0.246
2000    0.257
2001    0.264
2002    0.279
2003    0.223
2004    0.242
2005    0.228
2006    0.236
2007    0.220
2008    0.272
2009    0.292
2010    0.255
2011    0.234
2012    0.224
2013    0.268
