% measured lake bonney data
% year  lake delta h (m) 
1995    0.00
1996    0.01
1997    0.01
1998    -0.02
1999    -0.05
2000    -0.16
2001    -0.37
2002    0.33
2003    0.51
2004    0.59
2005    0.76
2006    1.05
2007    1.12
2008    1.17
2009    1.67
2010    1.72
2011    2.42
2012    2.78
2013    3.13
2014    3.52
2015    3.38
2016    3.63
2017    3.65
2018    3.56
