% load S data (Sublimation from lakes)
%  time (years)     S (m year^-1) 
1995    0
1996    0.173
1997    0.159
1998    0.201
1999    0.164
2000    0.168
2001    0.165
2002    0.181
2003    0.127
2004    0.148
2005    0.145
2006    0.148
2007    0.161
2008    0.166
2009    0.157
2010    0.141
2011    0.145
2012    0.178
2013    0.191
