% load S data (Sublimation from lakes)
%  time (years)     S (m year^-1) 
1995    0.0
1996    0.232
1997    0.212
1998    0.238
1999    0.234
2000    0.240
2001    0.212
2002    0.258
2003    0.170
2004    0.199
2005    0.189
2006    0.199
2007    0.230
2008    0.226
2009    0.220
2010    0.185
2011    0.200
2012    0.246
2013    0.244
