% measured lake hoare data
% year  lake delta h (m)
1995    0.00
1996    -0.02
1997    -0.09
1998    -0.17
1999    -0.16
2000    -0.16
2001    -0.32
2002    0.08
2003    -0.01
2004    -0.12
2005    0.05
2006    0.17
2007    0.23
2008    0.29
2009    0.46
2010    0.45
2011    0.65
2012    0.75
2013    0.83
2014    0.87
2015    1.11
2016    1.24
2017    1.18
2018    1.14
