% load S data (Sublimation from lakes)
%  time (years)     S (m year^-1) 
1995    0.102
1996    0.218
1997    0.216
1998    0.261
1999    0.221
2000    0.232
2001    0.217
2002    0.245
2003    0.161
2004    0.201
2005    0.195
2006    0.197
2007    0.213
2008    0.227
2009    0.204
2010    0.194
2011    0.196
2012    0.252
2013    0.223
