% load S data (Sublimation from lakes)
%  time (years)     S (m year^-1) 
1995    0.202
1996    0.408
1997    0.448
1998    0.451
1999    0.415
2000    0.456
2001    0.450
2002    0.474
2003    0.376
2004    0.411
2005    0.390
2006    0.410
2007    0.383
2008    0.475
2009    0.490
2010    0.450
2011    0.383
2012    0.423
2013    0.405
