% load S data (Sublimation from lakes)
%  time (years)     S (m year^-1) 
1995    0.096
1996    0.239
1997    0.232
1998    0.252
1999    0.261
2000    0.262
2001    0.252
2002    0.270
2003    0.190
2004    0.226
2005    0.229
2006    0.227
2007    0.242
2008    0.258
2009    0.233
2010    0.232
2011    0.209
2012    0.277
2013    0.211
